block size: 512 bytes, rate: 1440.333 MBPS
block size: 1024 bytes, rate: 1587.879 MBPS
block size: 4096 bytes, rate: 1854.787 MBPS
block size: 8192 bytes, rate: 934.046 MBPS
block size: 16384 bytes, rate: 1063.775 MBPS
block size: 32768 bytes, rate: 2221.947 MBPS
block size: 1048576 bytes, rate: 2919.418 MBPS
block size: 2097152 bytes, rate: 3042.198 MBPS
block size: 4194304 bytes, rate: 2794.122 MBPS
