block size: 512 bytes, rate: 33.778 MBPS
block size: 1024 bytes, rate: 33.544 MBPS
block size: 4096 bytes, rate: 32.809 MBPS
block size: 8192 bytes, rate: 34.395 MBPS
block size: 16384 bytes, rate: 34.214 MBPS
block size: 32768 bytes, rate: 33.407 MBPS
block size: 1048576 bytes, rate: 33.730 MBPS
block size: 2097152 bytes, rate: 34.565 MBPS
block size: 4194304 bytes, rate: 34.966 MBPS
