block size: 512 bytes, rate: 1443.526 MBPS
block size: 1024 bytes, rate: 1479.614 MBPS
block size: 4096 bytes, rate: 1745.390 MBPS
block size: 8192 bytes, rate: 1881.591 MBPS
block size: 16384 bytes, rate: 2148.615 MBPS
block size: 32768 bytes, rate: 1446.734 MBPS
block size: 1048576 bytes, rate: 2945.839 MBPS
block size: 2097152 bytes, rate: 3000.140 MBPS
block size: 4194304 bytes, rate: 2668.157 MBPS
