block size: 512 bytes, rate: 1542.726 MBPS
block size: 1024 bytes, rate: 1510.511 MBPS
block size: 4096 bytes, rate: 1595.663 MBPS
block size: 8192 bytes, rate: 865.732 MBPS
block size: 16384 bytes, rate: 1903.598 MBPS
block size: 32768 bytes, rate: 2604.121 MBPS
block size: 1048576 bytes, rate: 2919.418 MBPS
block size: 2097152 bytes, rate: 3207.046 MBPS
block size: 4194304 bytes, rate: 2614.580 MBPS
